AI_Skill,Coding_Skill,Communication_Skill,Career
8.2,8.9,8.0,Data Scientist
9.2,8.3,5.8,Machine Learning Engineer
4.1,5.7,5.2,AI Research Analyst
6.9,5.5,9.9,Business Intelligence Analyst
5.7,4.4,4.4,Data Engineer
4.4,4.6,5.0,AI Cloud Engineer
4.9,4.6,5.2,Cloud DevOps Engineer
4.3,4.6,4.7,Site Reliability Engineer
4.9,5.6,4.4,Cloud Security Engineer
5.5,9.2,6.1,Platform Engineer
5.2,4.3,4.1,Software Developer
5.9,10.0,8.1,Full Stack Developer
4.1,8.7,6.4,Backend Developer
3.9,8.2,7.5,Frontend Developer
4.1,5.8,4.5,Mobile App Developer
6.3,8.6,7.0,Game Developer
5.1,4.4,5.9,Cybersecurity Analyst
5.6,5.9,5.8,SOC Engineer
5.2,5.8,4.2,Security Automation Engineer
4.9,7.6,6.2,Penetration Tester
7.8,5.5,10.0,AI Product Manager
4.7,4.6,5.1,AI Business Analyst
4.3,5.6,4.1,AI Solutions Consultant
6.0,5.5,4.4,Digital Transformation Analyst
4.0,5.6,5.4,AI Governance Specialist
10.0,6.5,7.6,Prompt Engineer
4.7,4.2,5.7,AI Operations Manager
5.2,4.7,4.1,Robotics Software Engineer
8.6,8.2,6.5,Computer Vision Engineer
9.3,9.3,6.9,NLP Engineer
4.2,5.4,5.5,MLOps Engineer
5.1,5.5,5.0,Data Governance Analyst
5.0,4.9,4.1,ERP Functional Consultant
4.2,4.1,5.3,AI UX Designer
4.6,5.0,5.8,Technical Program Manager
4.5,8.8,6.5,Blockchain Developer
4.5,4.2,4.6,AR/VR Developer
4.3,5.9,5.6,IoT Engineer
5.3,5.7,5.6,Smart Manufacturing Analyst
4.4,5.8,5.1,AI Quality Assurance Engineer
5.6,5.8,4.6,Sustainability Data Analyst
4.2,4.5,4.9,Healthcare AI Analyst
5.6,5.7,4.0,FinTech Software Engineer
5.0,4.8,4.4,EdTech Product Analyst
4.2,4.7,5.9,AI Ethics Researcher
4.6,5.0,5.4,Supply Chain AI Analyst
4.7,5.9,5.9,Digital Marketing Analyst (AI)
4.5,5.0,4.6,SOC Engineer
4.6,4.1,5.2,Sustainability Data Analyst
